종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","94800","-5800","-5.77","5.61181675E8"
"000660","SK하이닉스","521000","-50000","-8.76","3.79289232E8"
"373220","LG에너지솔루션","425500","-15500","-3.51","9.9567E7"
"207940","삼성바이오로직스","1221000","0","0.00","8.6903454E7"
"005380","현대차","259500","-2500","-0.95","5.313464E7"
"329180","HD현대중공업","555000","-28000","-4.80","4.9269079E7"
"034020","두산에너빌리티","73100","-4600","-5.92","4.682502E7"
"105560","KB금융","120500","-700","-0.58","4.5966183E7"
"000270","기아","114000","600","0.53","4.4891977E7"
"012450","한화에어로스페이스","869000","-47000","-5.13","4.4808595E7"
"068270","셀트리온","187400","600","0.32","4.3282086E7"
"035420","NAVER","262500","5500","2.14","4.1173817E7"
"055550","신한지주","77000","300","0.39","3.738311E7"
"028260","삼성물산","216000","-8000","-3.57","3.6714934E7"
"042660","한화오션","119800","-5200","-4.16","3.6708325E7"
"402340","SK스퀘어","266000","-27500","-9.37","3.5255868E7"
"015760","한국전력","48150","-800","-1.63","3.091057E7"
"009540","HD한국조선해양","420000","-13500","-3.11","2.9724709E7"
"032830","삼성생명","146400","-1100","-0.75","2.928E7"
"267260","HD현대일렉트릭","751000","-64000","-7.85","2.7071398E7"
"012330","현대모비스","296000","0","0.00","2.6856845E7"
"051910","LG화학","367000","-21500","-5.53","2.590739E7"
"035720","카카오","58700","-400","-0.68","2.596795E7"
"005490","POSCO홀딩스","310500","-11000","-3.42","2.5129682E7"
"086790","하나금융지주","91000","-900","-0.98","2.5327649E7"
"006400","삼성SDI","288500","-13500","-4.47","2.3248925E7"
"010140","삼성중공업","25350","-1100","-4.16","2.2308E7"
"010130","고려아연","1128000","3000","0.27","2.1819201E7"
"000810","삼성화재","470000","3000","0.64","2.1625243E7"
"064350","현대로템","182800","-7200","-3.79","1.9951211E7"
"316140","우리금융지주","25950","-100","-0.38","1.9049281E7"
"096770","SK이노베이션","113500","-3400","-2.91","1.9187491E7"
"138040","메리츠금융지주","109800","-300","-0.27","1.9239351E7"
"034730","SK","249000","-14500","-5.50","1.8053173E7"
"011200","HMM","19150","-80","-0.42","1.8063007E7"
"298040","효성중공업","1910000","-110000","-5.45","1.7809887E7"
"003670","포스코퓨처엠","192500","-7500","-3.75","1.7122147E7"
"033780","KT&G","145600","3800","2.68","1.71774E7"
"009150","삼성전기","217500","-1000","-0.46","1.6245879E7"
"024110","기업은행","20250","50","0.25","1.6147874E7"
"267250","HD현대","203500","-10000","-4.68","1.6075093E7"
"000150","두산","855000","-68000","-7.37","1.4127879E7"
"066570","LG전자","86400","-900","-1.03","1.4073384E7"
"010120","LS ELECTRIC","441000","-65000","-12.85","1.323E7"
"018260","삼성에스디에스","169000","600","0.36","1.3076848E7"
"030200","KT","49900","600","1.22","1.2575882E7"
"352820","하이브","292000","-4000","-1.35","1.2427553E7"
"003550","LG","79300","-1300","-1.61","1.2229772E7"
"006800","미래에셋증권","21150","-1100","-4.94","1.2062192E7"
"259960","크래프톤","253000","0","0.00","1.1990646E7"
"086280","현대글로비스","160300","-2800","-1.72","1.20225E7"
"042700","한미반도체","120100","-3400","-2.75","1.1446995E7"
"017670","SK텔레콤","53400","0","0.00","1.1469789E7"
"003230","삼양식품","1380000","-21000","-1.50","1.0395561E7"
"047810","한국항공우주","106600","-700","-0.65","1.0390846E7"
"323410","카카오뱅크","21250","-200","-0.93","1.0136047E7"
"010950","S-Oil","89700","300","0.34","1.0098676E7"
"326030","SK바이오팜","126500","200","0.16","9906626.0"
"443060","HD현대마린솔루션","204000","-7000","-3.32","9145159.0"
"000100","유한양행","116700","-2000","-1.68","9332317.0"
"047050","포스코인터내셔널","52800","-500","-0.94","9288723.0"
"272210","한화시스템","48600","-1900","-3.76","9181482.0"
"007660","이수페타시스","122100","-11200","-8.40","8963266.0"
"278470","에이피알","238000","1000","0.42","8908496.0"
"079550","LIG넥스원","402000","-14500","-3.48","8844000.0"
"010620","HD현대미포","223000","-9500","-4.09","8907099.0"
"071050","한국금융지주","153100","-5300","-3.35","8531649.0"
"005830","DB손해보험","119300","-800","-0.67","8446440.0"
"003490","대한항공","21400","-250","-1.15","7879922.0"
"090430","아모레퍼시픽","134400","-400","-0.30","7861427.0"
"005940","NH투자증권","20550","-450","-2.14","7322877.0"
